,id,name,images
150,42ctCeQEs2A0f0ONoVNaSX,Dorothy Descalsota,https://i.scdn.co/image/ab67616d00001e0299192eaa4470f7db901aea9c
151,3nOQJdlPEzFVhTEzxwcGax,Sophie Hunger,https://i.scdn.co/image/ab6761610000517478bf7fe60d44309d9ad920b2
152,71rjIVhe7PAlIovJgmqvUS,WINO,https://i.scdn.co/image/ab67616100005174710dcb49995291f261c8ecce
153,7HxwV8NK5Ea0UaOPamhuxe,Maiden United,https://i.scdn.co/image/ab67616d00001e02a4aa1e354e53205d3697029b
154,753nQataGdCe1JJtBUUxaR,Gaz Brookfield,https://i.scdn.co/image/ab676161000051740818f263c9dba9dbdaf12830
155,47PqZqEfnbjpst94bojkIl,The Donnies The Amys,https://i.scdn.co/image/ab67616100005174e05b8da9b4dcf4f3c86098ea
156,0cLrgpG3pW4MX4nD8h6qCc,El Michels Affair,https://i.scdn.co/image/ab676161000051746ca476b9b61c6a4c3574af1b
157,1PryMSya1JnSAlcwYawCxp,Menahan Street Band,https://i.scdn.co/image/ab6761610000517446dc0fd03399b8a9dfed982d
158,4JfFdF9Row7UXtdsKtT6tc,Darondo,https://i.scdn.co/image/551ecdd7db53fa31de2483ce938f7180ba01c427
159,6LXZac7iBIZgnNrywTkQRw,Monophonics,https://i.scdn.co/image/ab6761610000517465bc9e74fce3873550668a5b
160,00E0xvoM67oRJk8a5iTyEh,Ondatrópica,https://i.scdn.co/image/212821c276358656f6a5fb667f4ee32e6f467522
161,3BJKbr8p7ED6GzAf1OeExO,Getatchew Mekurya,https://i.scdn.co/image/ab67616d00001e022f95472115b2e563cadb0b9a
162,6dqBherxR2n5xMfqAI0L2J,The Funkees,https://i.scdn.co/image/a6c0404a7ccdeb1816f761213d2c146e4c26d4e8
163,1QVWN3ebl1dVgVbMgQPG8K,The Bamboos,https://i.scdn.co/image/ab6761610000517482a3e27a8eb98bfdc8dd821c
164,0mdmrbu5UZ32uRcRp2z6mr,Francis Bebey,https://i.scdn.co/image/d29be565351535a0f37bb330a6c1579201b20924
165,6SQxxV1mB4oLifst53eQpw,Charlie USG,https://i.scdn.co/image/ab6761610000517428cf386c21b36da6172b1bc4
166,2Wt6Q6ZHygCPVtMO3uxLGB,Chico Mann,https://i.scdn.co/image/ab67616100005174b97aea82b3b2a9b62990be8b
167,08Y6RNx87Eolrcq1aLM6ow,Meridian Brothers,https://i.scdn.co/image/ab6761610000517414ccbe4cb55cc387695325ca
168,0AJM60aFXEl0tUmjZpSHSL,The Ogyatanaa Show Band,https://i.scdn.co/image/ab67616d00001e024979e6bd26e09e225569048f
169,6RTCb5pWKinqlUyG2qacit,Ernest Ranglin,https://i.scdn.co/image/ab67616d00001e0291097c0e8accb1443e612b9c
170,6BMYlvYYyC0VxN6vV9y9KZ,Lara George,https://i.scdn.co/image/ab6761610000517462dc2ce7505f58c3fe3e924e
171,0MiCOT2cVYso39XSskiUUo,The Souljazz Orchestra,https://i.scdn.co/image/4e51a4410776bd91f709ad7c6a4ec9e6ba87d1df
172,4yGIAU59dDaVaXMDkicnlF,The Sugarman 3,https://i.scdn.co/image/3581a20d3b616c1f0103ebc2f943ee922bcf8d43
173,1wDClxPQ3dnP5IfginkLma,Bibi Tanga & The Selenites,https://i.scdn.co/image/ab67616100005174427e030b6bf23ec1f1ef03fa
174,1ynl48Y4KflTXf1alW9g1L,Whitefield Brothers,https://i.scdn.co/image/ab67616d00001e02b5dc4185e1c33aebb5dd03c9
175,0UDiy9fLk3rtgfh5lDqRqu,Ayumikurikamaki,https://i.scdn.co/image/ab67616100005174d36ccae5fc7594e48fdb4719
176,3K7G8Czqv2acbaWlxFfjbj,Gyedu-Blay Ambolley,https://i.scdn.co/image/ab676161000051741c643c61284eb9c1c9ef9b4d
